Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Chrome 69.0.3497.100,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 10:05:33,2018-09-25 10:06:12,"38,631s",FAILED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:05:34,2018-09-25 10:05:51,"17,763s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:05:34,2018-09-25 10:05:34,"0,009s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:05:34,2018-09-25 10:05:45,"11,421s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:05:45,2018-09-25 10:05:45,"0,016s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:05:45,2018-09-25 10:05:46,"0,031s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:05:46,2018-09-25 10:05:47,"1,074s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:05:47,2018-09-25 10:05:47,"0,147s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:05:47,2018-09-25 10:05:47,"0,114s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:05:47,2018-09-25 10:05:47,"0,516s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:05:47,2018-09-25 10:05:47,"0,114s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:05:47,2018-09-25 10:05:48,"0,148s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:05:48,2018-09-25 10:05:48,"0,105s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:05:48,2018-09-25 10:05:49,"0,919s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:05:49,2018-09-25 10:05:49,"0,054s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:05:49,2018-09-25 10:05:49,"0,643s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:05:51,2018-09-25 10:06:11,"19,941s",FAILED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:05:51,2018-09-25 10:05:51,"0,004s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:05:51,2018-09-25 10:06:03,"11,631s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:06:03,2018-09-25 10:06:03,"0,007s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:06:03,2018-09-25 10:06:03,"0,029s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:06:03,2018-09-25 10:06:04,"0,800s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:06:04,2018-09-25 10:06:09,"5,442s",FAILED
