Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Chrome 69.0.3497.100,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 10:18:42,2018-09-25 10:19:19,"37,046s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:18:42,2018-09-25 10:19:03,"20,948s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:18:43,2018-09-25 10:18:43,"0,011s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:18:43,2018-09-25 10:18:56,"13,674s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:18:56,2018-09-25 10:18:56,"0,017s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:18:56,2018-09-25 10:18:56,"0,034s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:18:56,2018-09-25 10:18:58,"1,469s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:18:58,2018-09-25 10:18:58,"0,162s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:18:58,2018-09-25 10:18:58,"0,134s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:18:58,2018-09-25 10:18:59,"0,508s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:18:59,2018-09-25 10:18:59,"0,116s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:18:59,2018-09-25 10:18:59,"0,160s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:18:59,2018-09-25 10:18:59,"0,105s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:18:59,2018-09-25 10:19:00,"1,485s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:19:00,2018-09-25 10:19:00,"0,054s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:19:00,2018-09-25 10:19:01,"0,633s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:19:03,2018-09-25 10:19:19,"15,819s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:19:03,2018-09-25 10:19:03,"0,004s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:19:03,2018-09-25 10:19:13,"10,239s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:19:13,2018-09-25 10:19:13,"0,007s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:19:13,2018-09-25 10:19:13,"0,027s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:19:13,2018-09-25 10:19:14,"0,927s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:19:14,2018-09-25 10:19:14,"0,142s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:19:14,2018-09-25 10:19:15,"0,100s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:19:15,2018-09-25 10:19:15,"0,527s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:19:15,2018-09-25 10:19:15,"0,117s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:19:15,2018-09-25 10:19:15,"0,154s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:19:15,2018-09-25 10:19:15,"0,104s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:19:15,2018-09-25 10:19:16,"0,773s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:19:16,2018-09-25 10:19:16,"0,047s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:19:16,2018-09-25 10:19:17,"0,620s",PASSED
