Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delete addresses,Firefox 62.0,Test the addresse deletion function using data driven approach with spreadsheet Addresses,2018-09-25 10:54:01,2018-09-25 10:54:39,"37,831s",PASSED
,,,,,,
Test Cases/Home/Delete address,Firefox 62.0,Delete an addresses,2018-09-25 10:54:01,2018-09-25 10:54:21,"19,494s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Firefox 62.0,,2018-09-25 10:54:02,2018-09-25 10:54:19,"16,883s",PASSED
Statement - If (deleteButton),Firefox 62.0,,2018-09-25 10:54:19,2018-09-25 10:54:19,"0,094s",PASSED
closeBrowser,Firefox 62.0,,2018-09-25 10:54:19,2018-09-25 10:54:19,"0,167s",PASSED
,,,,,,
Test Cases/Home/Delete address,Firefox 62.0,Delete an addresses,2018-09-25 10:54:21,2018-09-25 10:54:39,"18,083s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Firefox 62.0,,2018-09-25 10:54:21,2018-09-25 10:54:37,"15,821s",PASSED
Statement - If (deleteButton),Firefox 62.0,,2018-09-25 10:54:37,2018-09-25 10:54:37,"0,075s",PASSED
closeBrowser,Firefox 62.0,,2018-09-25 10:54:37,2018-09-25 10:54:37,"0,163s",PASSED
