Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delete addresses,Chrome 69.0.3497.100,Test the addresse deletion function using data driven approach with spreadsheet Addresses,2018-09-25 10:30:14,2018-09-25 10:30:42,"27,520s",FAILED
,,,,,,
Test Cases/Home/Delete address,Chrome 69.0.3497.100,Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.,2018-09-25 10:30:14,2018-09-25 10:30:31,"16,406s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Chrome 69.0.3497.100,,2018-09-25 10:30:15,2018-09-25 10:30:28,"13,239s",PASSED
Statement - If (deleteButton),Chrome 69.0.3497.100,,2018-09-25 10:30:28,2018-09-25 10:30:28,"0,119s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:30:28,2018-09-25 10:30:29,"0,651s",PASSED
,,,,,,
Test Cases/Home/Delete address,Chrome 69.0.3497.100,Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.,2018-09-25 10:30:31,2018-09-25 10:30:41,"10,164s",FAILED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Chrome 69.0.3497.100,,2018-09-25 10:30:31,2018-09-25 10:30:39,"8,138s",FAILED
