Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Chrome 69.0.3497.100,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 11:59:49,2018-09-25 12:00:23,"33,264s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 11:59:50,2018-09-25 12:00:07,"17,025s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 11:59:50,2018-09-25 11:59:50,"0,010s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 11:59:50,2018-09-25 12:00:01,"10,809s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 12:00:01,2018-09-25 12:00:01,"0,015s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 12:00:01,2018-09-25 12:00:01,"0,032s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 12:00:01,2018-09-25 12:00:02,"0,815s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:02,2018-09-25 12:00:02,"0,155s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:02,2018-09-25 12:00:02,"0,181s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 12:00:02,2018-09-25 12:00:03,"0,548s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:03,2018-09-25 12:00:03,"0,119s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:03,2018-09-25 12:00:03,"0,161s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:03,2018-09-25 12:00:03,"0,107s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 12:00:03,2018-09-25 12:00:04,"0,943s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 12:00:04,2018-09-25 12:00:04,"0,064s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 12:00:04,2018-09-25 12:00:05,"0,674s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 12:00:07,2018-09-25 12:00:23,"15,992s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 12:00:07,2018-09-25 12:00:07,"0,005s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 12:00:07,2018-09-25 12:00:17,"10,352s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 12:00:17,2018-09-25 12:00:17,"0,009s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 12:00:17,2018-09-25 12:00:17,"0,026s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 12:00:17,2018-09-25 12:00:18,"1,071s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:18,2018-09-25 12:00:18,"0,142s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:18,2018-09-25 12:00:18,"0,111s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 12:00:18,2018-09-25 12:00:19,"0,484s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:19,2018-09-25 12:00:19,"0,100s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:19,2018-09-25 12:00:19,"0,147s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 12:00:19,2018-09-25 12:00:19,"0,097s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 12:00:19,2018-09-25 12:00:20,"0,729s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 12:00:20,2018-09-25 12:00:20,"0,056s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 12:00:20,2018-09-25 12:00:21,"0,639s",PASSED
