Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Firefox 62.0,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 11:27:01,2018-09-25 11:27:52,"50,779s",PASSED
,,,,,,
Test Cases/Home/Add address,Firefox 62.0,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 11:27:01,2018-09-25 11:27:30,"28,708s",PASSED
Statement - alias_exists = false,Firefox 62.0,,2018-09-25 11:27:02,2018-09-25 11:27:02,"0,012s",PASSED
callTestCase,Firefox 62.0,,2018-09-25 11:27:02,2018-09-25 11:27:22,"19,898s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Firefox 62.0,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 11:27:22,2018-09-25 11:27:22,"0,013s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Firefox 62.0,,2018-09-25 11:27:22,2018-09-25 11:27:24,"2,280s",PASSED
Statement - Else,Firefox 62.0,,2018-09-25 11:27:24,2018-09-25 11:27:24,"0,000s",PASSED
click,Firefox 62.0,,2018-09-25 11:27:24,2018-09-25 11:27:25,"1,320s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:25,2018-09-25 11:27:25,"0,063s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:25,2018-09-25 11:27:25,"0,063s",PASSED
selectOptionByValue,Firefox 62.0,,2018-09-25 11:27:25,2018-09-25 11:27:26,"0,766s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:26,2018-09-25 11:27:26,"0,041s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:26,2018-09-25 11:27:26,"0,063s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:26,2018-09-25 11:27:26,"0,043s",PASSED
click,Firefox 62.0,,2018-09-25 11:27:26,2018-09-25 11:27:28,"1,421s",PASSED
Statement - If (alias_exists),Firefox 62.0,,2018-09-25 11:27:28,2018-09-25 11:27:28,"0,007s",PASSED
Statement - Else,Firefox 62.0,,2018-09-25 11:27:28,2018-09-25 11:27:28,"0,000s",PASSED
closeBrowser,Firefox 62.0,,2018-09-25 11:27:28,2018-09-25 11:27:28,"0,323s",PASSED
,,,,,,
Test Cases/Home/Add address,Firefox 62.0,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 11:27:30,2018-09-25 11:27:52,"21,808s",PASSED
Statement - alias_exists = false,Firefox 62.0,,2018-09-25 11:27:30,2018-09-25 11:27:30,"0,004s",PASSED
callTestCase,Firefox 62.0,,2018-09-25 11:27:30,2018-09-25 11:27:44,"14,078s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Firefox 62.0,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 11:27:44,2018-09-25 11:27:44,"0,007s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Firefox 62.0,,2018-09-25 11:27:44,2018-09-25 11:27:46,"2,279s",PASSED
Statement - Else,Firefox 62.0,,2018-09-25 11:27:46,2018-09-25 11:27:46,"0,000s",PASSED
click,Firefox 62.0,,2018-09-25 11:27:46,2018-09-25 11:27:47,"0,809s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:47,2018-09-25 11:27:47,"0,051s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:47,2018-09-25 11:27:47,"0,049s",PASSED
selectOptionByValue,Firefox 62.0,,2018-09-25 11:27:47,2018-09-25 11:27:48,"0,696s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:48,2018-09-25 11:27:48,"0,036s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:48,2018-09-25 11:27:48,"0,047s",PASSED
setText,Firefox 62.0,,2018-09-25 11:27:48,2018-09-25 11:27:48,"0,038s",PASSED
click,Firefox 62.0,,2018-09-25 11:27:48,2018-09-25 11:27:49,"1,351s",PASSED
Statement - If (alias_exists),Firefox 62.0,,2018-09-25 11:27:49,2018-09-25 11:27:49,"0,004s",PASSED
Statement - Else,Firefox 62.0,,2018-09-25 11:27:49,2018-09-25 11:27:49,"0,000s",PASSED
closeBrowser,Firefox 62.0,,2018-09-25 11:27:49,2018-09-25 11:27:50,"0,323s",PASSED
