Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Chrome 69.0.3497.100,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 10:28:11,2018-09-25 10:28:45,"33,697s",FAILED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:28:11,2018-09-25 10:28:33,"22,192s",FAILED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:28:12,2018-09-25 10:28:12,"0,009s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:28:12,2018-09-25 10:28:23,"11,655s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:28:23,2018-09-25 10:28:23,"0,019s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:28:23,2018-09-25 10:28:26,"2,359s",PASSED
Statement - Else,Chrome 69.0.3497.100,,2018-09-25 10:28:26,2018-09-25 10:28:26,"0,000s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:28:26,2018-09-25 10:28:31,"5,714s",FAILED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:28:34,2018-09-25 10:28:44,"10,606s",FAILED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:28:34,2018-09-25 10:28:34,"0,002s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:28:34,2018-09-25 10:28:35,"1,084s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:28:35,2018-09-25 10:28:35,"0,013s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:28:35,2018-09-25 10:28:37,"2,072s",PASSED
Statement - Else,Chrome 69.0.3497.100,,2018-09-25 10:28:37,2018-09-25 10:28:37,"0,000s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:28:37,2018-09-25 10:28:42,"5,409s",FAILED
