Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delete addresses,Firefox 62.0,Test the addresse deletion function using data driven approach with spreadsheet Addresses,2018-09-25 11:52:28,2018-09-25 11:53:04,"35,414s",PASSED
,,,,,,
Test Cases/Home/Delete address,Firefox 62.0,Delete an addresses,2018-09-25 11:52:29,2018-09-25 11:52:46,"17,786s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Firefox 62.0,,2018-09-25 11:52:29,2018-09-25 11:52:44,"15,143s",PASSED
Statement - If (deleteButton),Firefox 62.0,,2018-09-25 11:52:44,2018-09-25 11:52:44,"0,108s",PASSED
closeBrowser,Firefox 62.0,,2018-09-25 11:52:44,2018-09-25 11:52:44,"0,159s",PASSED
,,,,,,
Test Cases/Home/Delete address,Firefox 62.0,Delete an addresses,2018-09-25 11:52:46,2018-09-25 11:53:04,"17,359s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Firefox 62.0,,2018-09-25 11:52:46,2018-09-25 11:53:02,"15,084s",PASSED
Statement - If (deleteButton),Firefox 62.0,,2018-09-25 11:53:02,2018-09-25 11:53:02,"0,093s",PASSED
closeBrowser,Firefox 62.0,,2018-09-25 11:53:02,2018-09-25 11:53:02,"0,158s",PASSED
