Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delete addresses,Chrome 69.0.3497.100,Test the addresse deletion function using data driven approach with spreadsheet Addresses,2018-09-25 11:09:13,2018-09-25 11:09:41,"28,212s",PASSED
,,,,,,
Test Cases/Home/Delete address,Chrome 69.0.3497.100,Delete an addresses,2018-09-25 11:09:13,2018-09-25 11:09:28,"14,595s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Chrome 69.0.3497.100,,2018-09-25 11:09:14,2018-09-25 11:09:25,"11,499s",PASSED
Statement - If (deleteButton),Chrome 69.0.3497.100,,2018-09-25 11:09:25,2018-09-25 11:09:25,"0,113s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 11:09:25,2018-09-25 11:09:26,"0,647s",PASSED
,,,,,,
Test Cases/Home/Delete address,Chrome 69.0.3497.100,Delete an addresses,2018-09-25 11:09:28,2018-09-25 11:09:41,"13,361s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Chrome 69.0.3497.100,,2018-09-25 11:09:28,2018-09-25 11:09:39,"10,594s",PASSED
Statement - If (deleteButton),Chrome 69.0.3497.100,,2018-09-25 11:09:39,2018-09-25 11:09:39,"0,101s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 11:09:39,2018-09-25 11:09:39,"0,636s",PASSED
