Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Chrome 69.0.3497.100,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 10:09:04,2018-09-25 10:09:39,"34,608s",FAILED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:09:05,2018-09-25 10:09:28,"23,540s",FAILED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:09:05,2018-09-25 10:09:05,"0,012s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:09:05,2018-09-25 10:09:18,"13,525s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:09:18,2018-09-25 10:09:18,"0,021s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:09:18,2018-09-25 10:09:21,"2,073s",PASSED
Statement - Else,Chrome 69.0.3497.100,,2018-09-25 10:09:21,2018-09-25 10:09:21,"0,001s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:09:21,2018-09-25 10:09:26,"5,468s",FAILED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:09:28,2018-09-25 10:09:38,"10,174s",FAILED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:09:28,2018-09-25 10:09:28,"0,006s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:09:28,2018-09-25 10:09:29,"0,601s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:09:29,2018-09-25 10:09:29,"0,010s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:09:29,2018-09-25 10:09:31,"2,088s",PASSED
Statement - Else,Chrome 69.0.3497.100,,2018-09-25 10:09:31,2018-09-25 10:09:31,"0,000s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:09:31,2018-09-25 10:09:36,"5,432s",FAILED
