Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Chrome 69.0.3497.100,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 10:40:31,2018-09-25 10:41:05,"33,757s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:40:32,2018-09-25 10:40:49,"17,232s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:40:32,2018-09-25 10:40:32,"0,014s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:40:32,2018-09-25 10:40:43,"11,190s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:40:43,2018-09-25 10:40:43,"0,018s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:40:43,2018-09-25 10:40:43,"0,033s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:40:43,2018-09-25 10:40:44,"1,050s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:40:44,2018-09-25 10:40:45,"0,147s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:40:45,2018-09-25 10:40:45,"0,116s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:40:45,2018-09-25 10:40:45,"0,497s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:40:45,2018-09-25 10:40:45,"0,108s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:40:45,2018-09-25 10:40:45,"0,139s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:40:45,2018-09-25 10:40:46,"0,098s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:40:46,2018-09-25 10:40:46,"0,738s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:40:46,2018-09-25 10:40:46,"0,059s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:40:46,2018-09-25 10:40:47,"0,623s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:40:49,2018-09-25 10:41:05,"16,248s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:40:49,2018-09-25 10:40:49,"0,006s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:40:49,2018-09-25 10:40:59,"10,480s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:40:59,2018-09-25 10:40:59,"0,008s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:40:59,2018-09-25 10:41:00,"0,025s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:41:00,2018-09-25 10:41:00,"0,843s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:41:00,2018-09-25 10:41:01,"0,204s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:41:01,2018-09-25 10:41:01,"0,103s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:41:01,2018-09-25 10:41:01,"0,440s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:41:01,2018-09-25 10:41:01,"0,104s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:41:01,2018-09-25 10:41:01,"0,151s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:41:01,2018-09-25 10:41:01,"0,092s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:41:01,2018-09-25 10:41:03,"1,093s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:41:03,2018-09-25 10:41:03,"0,047s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:41:03,2018-09-25 10:41:03,"0,621s",PASSED
