Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Chrome 69.0.3497.100,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 10:45:33,2018-09-25 10:46:25,"52,126s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:45:33,2018-09-25 10:46:03,"29,645s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:45:34,2018-09-25 10:45:34,"0,011s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:45:34,2018-09-25 10:45:54,"20,387s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:45:54,2018-09-25 10:45:54,"0,019s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:45:54,2018-09-25 10:45:54,"0,037s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:45:54,2018-09-25 10:45:57,"2,981s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:45:57,2018-09-25 10:45:57,"0,155s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:45:57,2018-09-25 10:45:57,"0,125s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:45:57,2018-09-25 10:45:58,"0,522s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:45:58,2018-09-25 10:45:58,"0,117s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:45:58,2018-09-25 10:45:58,"0,157s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:45:58,2018-09-25 10:45:58,"0,101s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:45:58,2018-09-25 10:46:00,"1,942s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:46:00,2018-09-25 10:46:00,"0,057s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:46:00,2018-09-25 10:46:01,"0,644s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:46:03,2018-09-25 10:46:25,"22,215s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:46:03,2018-09-25 10:46:03,"0,002s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:46:03,2018-09-25 10:46:19,"16,277s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:46:19,2018-09-25 10:46:19,"0,007s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:46:19,2018-09-25 10:46:19,"0,028s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:46:19,2018-09-25 10:46:20,"1,001s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:46:20,2018-09-25 10:46:21,"0,147s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:46:21,2018-09-25 10:46:21,"0,115s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:46:21,2018-09-25 10:46:21,"0,498s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:46:21,2018-09-25 10:46:21,"0,107s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:46:21,2018-09-25 10:46:21,"0,149s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:46:21,2018-09-25 10:46:21,"0,102s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:46:21,2018-09-25 10:46:23,"1,063s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:46:23,2018-09-25 10:46:23,"0,048s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:46:23,2018-09-25 10:46:23,"0,632s",PASSED
