Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Chrome 69.0.3497.100,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 10:36:50,2018-09-25 10:37:27,"36,482s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:36:51,2018-09-25 10:37:11,"20,274s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:36:51,2018-09-25 10:36:51,"0,010s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:36:51,2018-09-25 10:37:03,"11,788s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:37:03,2018-09-25 10:37:03,"0,016s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:37:03,2018-09-25 10:37:05,"2,465s",PASSED
Statement - Else,Chrome 69.0.3497.100,,2018-09-25 10:37:05,2018-09-25 10:37:05,"0,001s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:37:05,2018-09-25 10:37:06,"0,843s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:06,2018-09-25 10:37:06,"0,148s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:06,2018-09-25 10:37:06,"0,113s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:37:06,2018-09-25 10:37:07,"0,476s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:07,2018-09-25 10:37:07,"0,107s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:07,2018-09-25 10:37:07,"0,150s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:07,2018-09-25 10:37:07,"0,096s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:37:07,2018-09-25 10:37:08,"1,004s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:37:08,2018-09-25 10:37:08,"0,011s",PASSED
Statement - Else,Chrome 69.0.3497.100,,2018-09-25 10:37:08,2018-09-25 10:37:08,"0,000s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:37:08,2018-09-25 10:37:09,"0,642s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:37:11,2018-09-25 10:37:27,"15,946s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:37:11,2018-09-25 10:37:11,"0,002s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:37:11,2018-09-25 10:37:21,"10,285s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:37:21,2018-09-25 10:37:21,"0,009s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:37:21,2018-09-25 10:37:21,"0,026s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:37:21,2018-09-25 10:37:22,"1,122s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:22,2018-09-25 10:37:23,"0,146s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:23,2018-09-25 10:37:23,"0,115s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:37:23,2018-09-25 10:37:23,"0,454s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:23,2018-09-25 10:37:23,"0,109s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:23,2018-09-25 10:37:23,"0,154s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:37:23,2018-09-25 10:37:23,"0,106s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:37:23,2018-09-25 10:37:24,"0,731s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:37:24,2018-09-25 10:37:24,"0,050s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:37:24,2018-09-25 10:37:25,"0,614s",PASSED
