Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delete addresses,Firefox 62.0,Test the addresse deletion function using data driven approach with spreadsheet Addresses,2018-09-25 11:18:16,2018-09-25 11:18:50,"33,532s",PASSED
,,,,,,
Test Cases/Home/Delete address,Firefox 62.0,Delete an addresses,2018-09-25 11:18:16,2018-09-25 11:18:33,"16,739s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Firefox 62.0,,2018-09-25 11:18:17,2018-09-25 11:18:31,"13,937s",PASSED
Statement - If (deleteButton),Firefox 62.0,,2018-09-25 11:18:31,2018-09-25 11:18:31,"0,169s",PASSED
closeBrowser,Firefox 62.0,,2018-09-25 11:18:31,2018-09-25 11:18:31,"0,186s",PASSED
,,,,,,
Test Cases/Home/Delete address,Firefox 62.0,Delete an addresses,2018-09-25 11:18:33,2018-09-25 11:18:50,"16,499s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Firefox 62.0,,2018-09-25 11:18:33,2018-09-25 11:18:47,"14,133s",PASSED
Statement - If (deleteButton),Firefox 62.0,,2018-09-25 11:18:47,2018-09-25 11:18:47,"0,005s",PASSED
closeBrowser,Firefox 62.0,,2018-09-25 11:18:47,2018-09-25 11:18:48,"0,334s",PASSED
