Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add addresses,Chrome 69.0.3497.100,Test the addresse adding function using data driven approach with spreadsheet Addresses,2018-09-25 10:49:51,2018-09-25 10:50:35,"44,167s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:49:51,2018-09-25 10:50:11,"19,788s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:49:51,2018-09-25 10:49:51,"0,013s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:49:51,2018-09-25 10:50:04,"12,692s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:50:04,2018-09-25 10:50:04,"0,018s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:50:04,2018-09-25 10:50:04,"0,032s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:50:04,2018-09-25 10:50:06,"1,850s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:06,2018-09-25 10:50:06,"0,142s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:06,2018-09-25 10:50:06,"0,124s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:50:06,2018-09-25 10:50:07,"0,496s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:07,2018-09-25 10:50:07,"0,112s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:07,2018-09-25 10:50:07,"0,150s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:07,2018-09-25 10:50:07,"0,101s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:50:07,2018-09-25 10:50:08,"0,937s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:50:08,2018-09-25 10:50:08,"0,054s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:50:08,2018-09-25 10:50:09,"0,648s",PASSED
,,,,,,
Test Cases/Home/Add address,Chrome 69.0.3497.100,"Add an address. It uses the common function GoToUrl to go to the page you want in an efficient way.
Implemented as requested in the same fashion way than Delete address to check doublon",2018-09-25 10:50:11,2018-09-25 10:50:35,"24,105s",PASSED
Statement - alias_exists = false,Chrome 69.0.3497.100,,2018-09-25 10:50:11,2018-09-25 10:50:11,"0,002s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-25 10:50:11,2018-09-25 10:50:29,"18,189s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Addresses - My Store/span_Delete), ""xpath"", ""equals"", ""//a[@title='Delete' and ../../li[1]/h3/text()='"" + myAlias + ""']"", true)",Chrome 69.0.3497.100,"Chekc if a frame with the same alias exist on the ""Adresses page"". If so, a delete button normaly also exists. And in this case, we will expect an error message after clicking the add address button",2018-09-25 10:50:29,2018-09-25 10:50:29,"0,007s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.waitForElementPresent(deleteButton, 2))",Chrome 69.0.3497.100,,2018-09-25 10:50:29,2018-09-25 10:50:29,"0,026s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:50:29,2018-09-25 10:50:30,"0,846s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:30,2018-09-25 10:50:30,"0,140s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:30,2018-09-25 10:50:30,"0,105s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-09-25 10:50:30,2018-09-25 10:50:31,"0,493s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:31,2018-09-25 10:50:31,"0,107s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:31,2018-09-25 10:50:31,"0,149s",PASSED
setText,Chrome 69.0.3497.100,,2018-09-25 10:50:31,2018-09-25 10:50:31,"0,104s",PASSED
click,Chrome 69.0.3497.100,,2018-09-25 10:50:31,2018-09-25 10:50:32,"1,185s",PASSED
Statement - If (alias_exists),Chrome 69.0.3497.100,,2018-09-25 10:50:32,2018-09-25 10:50:32,"0,044s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 10:50:32,2018-09-25 10:50:33,"0,676s",PASSED
